team,opposingTeam,gameDate,situation,xGoalsAgainst,goalsAgainst,GSAx
DET,PIT,20220327,all,3.732,11.0,-7.268
DET,TOR,20220226,all,2.85,10.0,-7.15
ANA,STL,20110219,all,2.241,9.0,-6.759
MIN,STL,20210409,all,2.283,9.0,-6.7170000000000005
PHI,NYR,20210317,all,2.414,9.0,-6.586
COL,CGY,20110214,all,2.417,9.0,-6.583
DET,ARI,20220308,all,2.571,9.0,-6.429
PHI,MTL,20240409,all,2.678,9.0,-6.322
DET,MTL,20171202,all,3.701,10.0,-6.2989999999999995
PIT,CHI,20171005,all,3.734,10.0,-6.266
ANA,TOR,20240217,all,2.778,9.0,-6.2219999999999995
CBJ,BUF,20221207,all,2.779,9.0,-6.221
LAK,COL,20220413,all,2.793,9.0,-6.207
COL,MIN,20210407,all,1.798,8.0,-6.202
CHI,EDM,20111119,all,2.826,9.0,-6.1739999999999995
MTL,CBJ,20161104,all,3.862,10.0,-6.138
OTT,SEA,20230107,all,1.941,8.0,-6.059
BUF,NYR,20130419,all,1.962,8.0,-6.038
ARI,CBJ,20211014,all,2.009,8.0,-5.991
PHI,WPG,20111027,all,3.015,9.0,-5.984999999999999
TOR,BOS,20120319,all,2.079,8.0,-5.920999999999999
COL,MTL,20161210,all,4.108,10.0,-5.892
CGY,CHI,20200215,all,2.13,8.0,-5.87
CGY,BOS,20120105,all,3.19,9.0,-5.8100000000000005
ARI,CGY,20220416,all,3.212,9.0,-5.788
ANA,WPG,20190202,all,3.214,9.0,-5.786
PHI,WSH,20220412,all,3.236,9.0,-5.763999999999999
ARI,COL,20210331,all,3.236,9.0,-5.763999999999999
VGK,EDM,20171114,all,2.253,8.0,-5.747
SJS,PIT,20231104,all,4.259,10.0,-5.741
VAN,MIN,20240219,all,4.274,10.0,-5.726
MIN,MTL,20110320,all,2.293,8.0,-5.707
BUF,DAL,20230309,all,4.295,10.0,-5.705
CHI,SEA,20230114,all,2.3,8.0,-5.7
CHI,CBJ,20100325,all,2.315,8.0,-5.6850000000000005
CBJ,PHI,20111105,all,3.343,9.0,-5.657
WPG,T.B,20130201,all,2.358,8.0,-5.6419999999999995
NSH,CHI,20191116,all,1.392,7.0,-5.6080000000000005
L.A,ATL,20091113,all,1.394,7.0,-5.606
L.A,VAN,20191009,all,2.424,8.0,-5.5760000000000005
EDM,NYI,20160207,all,2.437,8.0,-5.563000000000001
FLA,MTL,20220429,all,4.443,10.0,-5.557
STL,CBJ,20161112,all,2.469,8.0,-5.531000000000001
TOR,BUF,20231221,all,3.47,9.0,-5.529999999999999
NYI,NSH,20191217,all,2.473,8.0,-5.527
DET,CHI,20130331,all,1.49,7.0,-5.51
NYI,CAR,20170313,all,2.492,8.0,-5.508
WSH,CHI,20190120,all,2.506,8.0,-5.494
EDM,CGY,20140322,all,2.524,8.0,-5.476
NSH,COL,20191107,all,3.527,9.0,-5.473
